Sample in Buffer,Sample in Window,TRIGGER,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/probe0[47:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tdata[511:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tkeep[63:0],i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tuser,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tvalid,i_app/design_1_i/hier_ilas/ila_cmac_rx/U0/net_slot_0_axis_tlast,Interface_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0],T_Channel_(i3:s0)_(cmac_usplus_0_axis_rx)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
924,12,0,00045b77dcde,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
925,13,0,00045b77dcdf,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
926,14,0,00045b77dce0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
927,15,0,00045b77dce1,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000002cc79ebd91a0631452f40101d3e473fefffb,0000000000000000,0,0,0,"_","_"
928,0,1,00045b78ac8c,80fe0000000090380087d3e473ff0100000000000000000002ffa10003feff31530e00000000000080feff3a200000000060dd86a1000331530cd3e473ff3333,ffffffffffffffff,0,1,0,"Active","Stream Beat"
929,1,0,00045b78ac8d,000000000000001e000000000000001e000000000000001e000000000000001e000000000000c70598a3a1000331530c0101d3e473fefffb9002000000000000,00000000003fffff,0,1,1,"Active","Last Stream"
930,2,0,00045b78ac8e,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e000000000000c705,0000000000000000,0,0,0,"_","_"
931,3,0,00045b78ac8f,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e000000000000c705,0000000000000000,0,0,0,"_","_"
932,4,0,00045b78ac90,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e000000000000c705,0000000000000000,0,0,0,"_","_"
933,5,0,00045b78ac91,000000000000000000000000000000000000000000000000000000000000001e000000000000001e000000000000001e000000000000001e000000000000c705,0000000000000000,0,0,0,"_","_"
