Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
472,472,0,7037e40000000680,01,08,5,0000000e5eb29f9e,1,0
473,473,0,200c200000000180,01,0a,1,0000000e5eb29fd2,1,0
474,474,0,2014200000000280,01,0a,1,0000000e5eb29fd4,1,0
475,475,0,2024200000000480,01,0a,1,0000000e5eb29fd6,1,0
476,476,0,201c200000000380,01,0a,1,0000000e5eb29fd8,1,0
477,477,0,202c200000000580,01,0a,1,0000000e5eb29fdd,1,0
478,478,0,2034200000000680,01,0a,1,0000000e5eb29fe2,1,0
479,479,0,7007e40000000080,01,08,5,0000000e5eb2a083,1,0
480,480,0,2004200000000080,01,0a,1,0000000e5eb2a0c8,1,0
481,481,0,2800300000008180,01,06,0,0000000e7242f0d0,1,0
482,482,0,2800300000008280,01,06,0,0000000e7242f0d4,1,0
483,483,0,2800300000008380,01,06,0,0000000e7242f0d7,1,0
484,484,0,2844300000008480,01,06,0,0000000e7242f0da,1,0
485,485,0,2840300000008580,01,06,0,0000000e7242f0dd,1,0
486,486,0,2843f00000008680,01,06,0,0000000e7242f0e0,1,0
487,487,0,5003c00000008180,11,04,4,0000000e7242f18e,1,0
488,488,0,5003c00000008280,11,04,4,0000000e7242f1b1,1,0
489,489,0,5003c00000008380,11,04,4,0000000e7242f1d4,1,0
490,490,0,0007e00000008180,11,04,2,0000000e7242f1dc,1,0
491,491,0,5047c00000008480,11,04,4,0000000e7242f1f8,1,0
492,492,0,0007e00000008280,11,04,2,0000000e7242f200,1,0
493,493,0,5043c00000008580,11,04,4,0000000e7242f21b,1,0
494,494,0,0007e00000008380,11,04,2,0000000e7242f224,1,0
495,495,0,5043c00000008680,11,04,4,0000000e7242f23f,1,0
496,496,0,0007e00000008480,11,04,2,0000000e7242f248,1,0
497,497,0,0007e00000008580,11,04,2,0000000e7242f26a,1,0
498,498,0,0003e00000008080,01,06,0,0000000e7242f28b,1,0
499,499,0,0007e00000008680,11,04,2,0000000e7242f28e,1,0
500,500,0,4803c00000008080,11,04,4,0000000e7242f4e2,1,0
501,501,0,0007e00000000080,01,06,0,0000000e724371a9,1,0
502,502,0,4807c00000000080,11,04,4,0000000e7243733c,1,0
503,503,0,0007ec0000000180,01,06,0,0000000e724374e7,1,0
504,504,0,4807c00000000180,11,04,4,0000000e72437595,1,0
505,505,0,0007ec0000000280,01,06,0,0000000e724376ee,1,0
506,506,0,4807c00000000280,11,04,4,0000000e7243779c,1,0
507,507,0,0003ec0000000380,01,06,0,0000000e724378f4,1,0
508,508,0,4803c00000000380,11,04,4,0000000e724379a1,1,0
509,509,0,0047ec0000000480,01,06,0,0000000e72437afb,1,0
510,510,0,4847c00000000480,11,04,4,0000000e72437ba8,1,0
511,511,0,0043ec0000000580,01,06,0,0000000e72437d00,1,0
512,512,0,4843c00000000580,11,04,4,0000000e72437dad,1,0
513,513,0,0047ec0000000680,01,06,0,0000000e72437f08,1,0
514,514,0,4847c00000000680,11,04,4,0000000e72437fb5,1,0
515,515,0,700fe40000000180,01,08,5,0000000e7243848e,1,0
516,516,0,7017e40000000280,01,08,5,0000000e72438490,1,0
517,517,0,701fe40000000380,01,08,5,0000000e72438495,1,0
518,518,0,7027e40000000480,01,08,5,0000000e72438497,1,0
519,519,0,702fe40000000580,01,08,5,0000000e7243849b,1,0
520,520,0,7037e40000000680,01,08,5,0000000e7243849d,1,0
521,521,0,200c200000000180,01,0a,1,0000000e724384d2,1,0
522,522,0,2014200000000280,01,0a,1,0000000e724384d5,1,0
523,523,0,201c200000000380,01,0a,1,0000000e724384d9,1,0
524,524,0,2024200000000480,01,0a,1,0000000e724384dc,1,0
525,525,0,2034200000000680,01,0a,1,0000000e724384de,1,0
526,526,0,202c200000000580,01,0a,1,0000000e724384e0,1,0
527,527,0,7007e40000000080,01,08,5,0000000e72438582,1,0
528,528,0,2004200000000080,01,0a,1,0000000e724385c4,1,0
529,529,0,0000000000000000,00,00,0,0000000000000000,1,0
530,530,0,0000000000000000,00,00,0,0000000000000000,1,0
531,531,0,0000000000000000,00,00,0,0000000000000000,1,0
532,532,0,0000000000000000,00,00,0,0000000000000000,1,0
533,533,0,0000000000000000,00,00,0,0000000000000000,1,0
534,534,0,0000000000000000,00,00,0,0000000000000000,1,0
535,535,0,0000000000000000,00,00,0,0000000000000000,1,0
536,536,0,0000000000000000,00,00,0,0000000000000000,1,0
537,537,0,0000000000000000,00,00,0,0000000000000000,1,0
538,538,0,0000000000000000,00,00,0,0000000000000000,1,0
539,539,0,0000000000000000,00,00,0,0000000000000000,1,0
540,540,0,0000000000000000,00,00,0,0000000000000000,1,0
541,541,0,0000000000000000,00,00,0,0000000000000000,1,0
542,542,0,0000000000000000,00,00,0,0000000000000000,1,0
543,543,0,0000000000000000,00,00,0,0000000000000000,1,0
544,544,0,0000000000000000,00,00,0,0000000000000000,1,0
545,545,0,0000000000000000,00,00,0,0000000000000000,1,0
546,546,0,0000000000000000,00,00,0,0000000000000000,1,0
547,547,0,0000000000000000,00,00,0,0000000000000000,1,0
548,548,0,0000000000000000,00,00,0,0000000000000000,1,0
549,549,0,0000000000000000,00,00,0,0000000000000000,1,0
550,550,0,0000000000000000,00,00,0,0000000000000000,1,0
551,551,0,0000000000000000,00,00,0,0000000000000000,1,0
552,552,0,0000000000000000,00,00,0,0000000000000000,1,0
553,553,0,0000000000000000,00,00,0,0000000000000000,1,0
554,554,0,0000000000000000,00,00,0,0000000000000000,1,0
555,555,0,0000000000000000,00,00,0,0000000000000000,1,0
556,556,0,0000000000000000,00,00,0,0000000000000000,1,0
557,557,0,0000000000000000,00,00,0,0000000000000000,1,0
558,558,0,0000000000000000,00,00,0,0000000000000000,1,0
559,559,0,0000000000000000,00,00,0,0000000000000000,1,0
560,560,0,0000000000000000,00,00,0,0000000000000000,1,0
561,561,0,0000000000000000,00,00,0,0000000000000000,1,0
562,562,0,0000000000000000,00,00,0,0000000000000000,1,0
563,563,0,0000000000000000,00,00,0,0000000000000000,1,0
564,564,0,0000000000000000,00,00,0,0000000000000000,1,0
565,565,0,0000000000000000,00,00,0,0000000000000000,1,0
566,566,0,0000000000000000,00,00,0,0000000000000000,1,0
567,567,0,0000000000000000,00,00,0,0000000000000000,1,0
568,568,0,0000000000000000,00,00,0,0000000000000000,1,0
569,569,0,0000000000000000,00,00,0,0000000000000000,1,0
570,570,0,0000000000000000,00,00,0,0000000000000000,1,0
571,571,0,0000000000000000,00,00,0,0000000000000000,1,0
572,572,0,0000000000000000,00,00,0,0000000000000000,1,0
573,573,0,0000000000000000,00,00,0,0000000000000000,1,0
574,574,0,0000000000000000,00,00,0,0000000000000000,1,0
575,575,0,0000000000000000,00,00,0,0000000000000000,1,0
576,576,0,0000000000000000,00,00,0,0000000000000000,1,0
577,577,0,0000000000000000,00,00,0,0000000000000000,1,0
578,578,0,0000000000000000,00,00,0,0000000000000000,1,0
579,579,0,0000000000000000,00,00,0,0000000000000000,1,0
580,580,0,0000000000000000,00,00,0,0000000000000000,1,0
581,581,0,0000000000000000,00,00,0,0000000000000000,1,0
582,582,0,0000000000000000,00,00,0,0000000000000000,1,0
583,583,0,0000000000000000,00,00,0,0000000000000000,1,0
584,584,0,0000000000000000,00,00,0,0000000000000000,1,0
585,585,0,0000000000000000,00,00,0,0000000000000000,1,0
586,586,0,0000000000000000,00,00,0,0000000000000000,1,0
587,587,0,0000000000000000,00,00,0,0000000000000000,1,0
588,588,0,0000000000000000,00,00,0,0000000000000000,1,0
589,589,0,0000000000000000,00,00,0,0000000000000000,1,0
590,590,0,0000000000000000,00,00,0,0000000000000000,1,0
591,591,0,0000000000000000,00,00,0,0000000000000000,1,0
592,592,0,0000000000000000,00,00,0,0000000000000000,1,0
593,593,0,0000000000000000,00,00,0,0000000000000000,1,0
594,594,0,0000000000000000,00,00,0,0000000000000000,1,0
595,595,0,0000000000000000,00,00,0,0000000000000000,1,0
596,596,0,0000000000000000,00,00,0,0000000000000000,1,0
597,597,0,0000000000000000,00,00,0,0000000000000000,1,0
598,598,0,0000000000000000,00,00,0,0000000000000000,1,0
599,599,0,0000000000000000,00,00,0,0000000000000000,1,0
600,600,0,0000000000000000,00,00,0,0000000000000000,1,0
601,601,0,0000000000000000,00,00,0,0000000000000000,1,0
602,602,0,0000000000000000,00,00,0,0000000000000000,1,0
603,603,0,0000000000000000,00,00,0,0000000000000000,1,0
604,604,0,0000000000000000,00,00,0,0000000000000000,1,0
605,605,0,0000000000000000,00,00,0,0000000000000000,1,0
606,606,0,0000000000000000,00,00,0,0000000000000000,1,0
607,607,0,0000000000000000,00,00,0,0000000000000000,1,0
608,608,0,0000000000000000,00,00,0,0000000000000000,1,0
609,609,0,0000000000000000,00,00,0,0000000000000000,1,0
610,610,0,0000000000000000,00,00,0,0000000000000000,1,0
611,611,0,0000000000000000,00,00,0,0000000000000000,1,0
612,612,0,0000000000000000,00,00,0,0000000000000000,1,0
613,613,0,0000000000000000,00,00,0,0000000000000000,1,0
614,614,0,0000000000000000,00,00,0,0000000000000000,1,0
615,615,0,0000000000000000,00,00,0,0000000000000000,1,0
616,616,0,0000000000000000,00,00,0,0000000000000000,1,0
617,617,0,0000000000000000,00,00,0,0000000000000000,1,0
618,618,0,0000000000000000,00,00,0,0000000000000000,1,0
619,619,0,0000000000000000,00,00,0,0000000000000000,1,0
620,620,0,0000000000000000,00,00,0,0000000000000000,1,0
621,621,0,0000000000000000,00,00,0,0000000000000000,1,0
622,622,0,0000000000000000,00,00,0,0000000000000000,1,0
623,623,0,0000000000000000,00,00,0,0000000000000000,1,0
624,624,0,0000000000000000,00,00,0,0000000000000000,1,0
625,625,0,0000000000000000,00,00,0,0000000000000000,1,0
626,626,0,0000000000000000,00,00,0,0000000000000000,1,0
627,627,0,0000000000000000,00,00,0,0000000000000000,1,0
628,628,0,0000000000000000,00,00,0,0000000000000000,1,0
629,629,0,0000000000000000,00,00,0,0000000000000000,1,0
630,630,0,0000000000000000,00,00,0,0000000000000000,1,0
631,631,0,0000000000000000,00,00,0,0000000000000000,1,0
632,632,0,0000000000000000,00,00,0,0000000000000000,1,0
633,633,0,0000000000000000,00,00,0,0000000000000000,1,0
634,634,0,0000000000000000,00,00,0,0000000000000000,1,0
635,635,0,0000000000000000,00,00,0,0000000000000000,1,0
636,636,0,0000000000000000,00,00,0,0000000000000000,1,0
637,637,0,0000000000000000,00,00,0,0000000000000000,1,0
638,638,0,0000000000000000,00,00,0,0000000000000000,1,0
639,639,0,0000000000000000,00,00,0,0000000000000000,1,0
640,640,0,0000000000000000,00,00,0,0000000000000000,1,0
641,641,0,0000000000000000,00,00,0,0000000000000000,1,0
642,642,0,0000000000000000,00,00,0,0000000000000000,1,0
