request_id,xid,worker_id,ok,request_bytes,response_bytes,server_rx_enter_ns,server_rx_unblock_ns,server_rx_exit_ns,server_unmarshal_enter_ns,server_unmarshal_exit_ns,server_handler_enter_ns,server_handler_exit_ns,server_marshal_enter_ns,server_marshal_exit_ns,server_tx_enter_ns,server_tx_exit_ns,timestamp_overhead_ns,timestamp_call_count
1787,-1127334294,0,1,48,8,114919238450,114919254920,114919255180,114919255250,114919255920,114919256050,114919256150,114919256250,114919256560,114919256650,114919259280,50,11
1788,-1110557078,0,1,48,8,114919328760,114919344940,114919345200,114919345270,114919345930,114919346050,114919346150,114919346250,114919346570,114919346650,114919349300,50,11
1789,-1093779862,0,1,48,8,114919419630,114919434350,114919434610,114919434680,114919435360,114919435480,114919435580,114919435680,114919436000,114919436080,114919438710,50,11
1790,-1077002646,0,1,48,8,114919508340,114919523120,114919523370,114919523440,114919524100,114919524220,114919524320,114919524420,114919524740,114919524830,114919527460,50,11
1791,-1060225430,0,1,48,8,114919596880,114919611490,114919611750,114919611820,114919612480,114919612600,114919612700,114919612800,114919613120,114919613200,114919615840,50,11
1792,-1043448214,0,1,48,8,114919685320,114919702950,114919703210,114919703280,114919703940,114919704060,114919704160,114919704260,114919704580,114919704660,114919707310,50,11
1793,-1026670998,0,1,48,8,114919792330,114919793880,114919794130,114919794200,114919794880,114919795000,114919795100,114919795240,114919795560,114919795650,114919798260,50,11
1794,-1009893782,0,1,48,8,114919868180,114919881280,114919881560,114919881630,114919882280,114919882410,114919882510,114919882600,114919882920,114919883010,114919885650,50,11
1795,-993116566,0,1,48,8,114919964130,114919998090,114919998340,114919998420,114919999150,114919999270,114919999360,114919999460,114919999780,114919999870,114920002500,50,11
1796,-976339350,0,1,48,8,114920072380,114920090160,114920090420,114920090490,114920091150,114920091270,114920091370,114920091470,114920091790,114920091870,114920094510,50,11
1797,-959562134,0,1,48,8,114920164020,114920181240,114920181500,114920181570,114920182230,114920182350,114920182450,114920182550,114920182870,114920182950,114920185580,50,11
1798,-942784918,0,1,48,8,114920255080,114920271490,114920271740,114920271820,114920272470,114920272590,114920272700,114920272790,114920273110,114920273200,114920275840,50,11
1799,-926007702,0,1,48,8,114920345300,114920360470,114920360730,114920360800,114920361450,114920361580,114920361680,114920361770,114920362090,114920362180,114920364820,50,11
1800,-909230486,0,1,48,8,114920434280,114920451120,114920451370,114920451440,114920452100,114920452220,114920452320,114920452420,114920452740,114920452820,114920455470,50,11
1801,-892453270,0,1,48,8,114920524950,114920564580,114920564830,114920564910,114920565560,114920565680,114920565790,114920565880,114920566200,114920566290,114920568910,50,11
1802,-875676054,0,1,48,8,114920639240,114920658110,114920658370,114920658440,114920659090,114920659220,114920659320,114920659410,114920659730,114920659820,114920662450,50,11
1803,-858898838,0,1,48,8,114920731950,114920750300,114920750550,114920750620,114920751280,114920751400,114920751500,114920751600,114920751920,114920752000,114920754630,50,11
1804,-842121622,0,1,48,8,114920824110,114920839690,114920839950,114920840020,114920840680,114920840800,114920840900,114920841000,114920841320,114920841400,114920844030,50,11
1805,-825344406,0,1,48,8,114920913560,114920928660,114920928910,114920928980,114920929640,114920929760,114920929860,114920929960,114920930280,114920930360,114920932990,50,11
1806,-808567190,0,1,48,8,114920959980,114921009950,114921010250,114921010320,114921010980,114921011100,114921011190,114921011290,114921011610,114921011700,114921014360,50,11
1807,-791789974,0,1,48,8,114921084090,114921100930,114921101180,114921101250,114921101910,114921102030,114921102130,114921102230,114921102550,114921102640,114921105260,50,11
1808,-775012758,0,1,48,8,114921174820,114921192720,114921192980,114921193050,114921193710,114921193830,114921193930,114921194030,114921194350,114921194430,114921197070,50,11
1809,-758235542,0,1,48,8,114921266550,114921281930,114921282180,114921282250,114921282910,114921283030,114921283130,114921283230,114921283550,114921283640,114921286250,50,11
1810,-741458326,0,1,48,8,114921355690,114921370250,114921370510,114921370580,114921371240,114921371360,114921371460,114921371560,114921371880,114921371960,114921374590,50,11
1811,-724681110,0,1,48,8,114921444080,114921460350,114921460600,114921460670,114921461330,114921461450,114921461550,114921461650,114921461970,114921462060,114921464680,50,11
1812,-707903894,0,1,48,8,114921534110,114921549580,114921549830,114921549900,114921550560,114921550680,114921550780,114921550880,114921551200,114921551290,114921553940,50,11
1813,-691126678,0,1,48,8,114921623400,114921638420,114921638670,114921638740,114921639400,114921639520,114921639620,114921639720,114921640040,114921640130,114921642740,50,11
1814,-674349462,0,1,48,8,114921712230,114921727120,114921727380,114921727450,114921728110,114921728230,114921728330,114921728430,114921728750,114921728830,114921731480,50,11
1815,-657572246,0,1,48,8,114921801630,114921816910,114921817170,114921817240,114921817900,114921818020,114921818120,114921818220,114921818530,114921818620,114921821260,50,11
1816,-640795030,0,1,48,8,114921890750,114921907300,114921907560,114921907630,114921908290,114921908410,114921908510,114921908610,114921908930,114921909010,114921911660,50,11
1817,-624017814,0,1,48,8,114922005500,114922009850,114922010110,114922010180,114922010970,114922011090,114922011180,114922011320,114922011640,114922011730,114922014350,50,11
1818,-607240598,0,1,48,8,114922084560,114922100180,114922100430,114922100500,114922101160,114922101280,114922101380,114922101480,114922101800,114922101880,114922104530,50,11
1819,-590463382,0,1,48,8,114922175680,114922190520,114922190780,114922190850,114922191510,114922191630,114922191730,114922191820,114922192140,114922192230,114922194840,50,11
1820,-573686166,0,1,48,8,114922264240,114922280170,114922280420,114922280490,114922281150,114922281270,114922281370,114922281470,114922281790,114922281870,114922284510,50,11
1821,-556908950,0,1,48,8,114922353950,114922370030,114922370290,114922370360,114922371010,114922371140,114922371240,114922371340,114922371650,114922371740,114922374370,50,11
1822,-540131734,0,1,48,8,114922443850,114922459290,114922459540,114922459610,114922460270,114922460390,114922460490,114922460590,114922460910,114922461000,114922463630,50,11
1823,-523354518,0,1,48,8,114922533050,114922547890,114922548150,114922548220,114922548880,114922549000,114922549100,114922549200,114922549510,114922549600,114922552230,50,11
