index,dcs_trace.event.req,dcs_trace.event.cli,dcs_trace.event.action,dcs_trace.event.state,timestamp
596,R12,0000000080,RDD,s1__2pRA2,1781452162.250000
597,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452162.495000
598,UL,0000000100,NO_ACTION,s1__1,1781452162.715000
599,LCI,0000000000,SEND_F21,s1pCI__1_A21,1781452162.725000
600,A21,0000000000,SEND_LCIA,s1pUL__1,1781452163.175000
601,UL,0000000000,NO_ACTION,s1__1,1781452163.395000
602,RDDA,0000000080,SEND_RA2,s1__2,1781452163.425000
603,R12,0000000000,RDD,s1__2pRA2,1781452165.390000
604,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452165.630000
605,LCI,0000000080,SEND_F21,s1pCI__1_A21,1781452165.850000
606,UL,0000000100,NO_ACTION,s1__1,1781452165.850000
607,A21,0000000080,SEND_LCIA,s1pUL__1,1781452166.295000
608,UL,0000000080,NO_ACTION,s1__1,1781452166.525000
609,RDDA,0000000000,SEND_RA2,s1__2,1781452166.555000
610,R12,0000000080,RDD,s1__2pRA2,1781452187.180000
611,LCI,0000000100,SEND_LCIA,s1pUL__1,1781452187.425000
612,UL,0000000100,NO_ACTION,s1__1,1781452187.645000
613,LCI,0000000000,SEND_F21,s1pCI__1_A21,1781452187.655000
614,A21,0000000000,SEND_LCIA,s1pUL__1,1781452188.105000
615,RDDA,0000000080,SEND_RA2,s1__2,1781452188.325000
616,UL,0000000000,NO_ACTION,s1__1,1781452188.325000
617,R23,0000008080,SEND_RA3,s1__3,1781452260.095000
618,R13,0000008100,RDD,s1__3pRA3,1781452260.165000
619,R13,0000008180,RDD,s1__3pRA3,1781452260.175000
620,R13,0000008200,RDD,s1__3pRA3,1781452260.185000
621,R13,0000008280,RDD,s1__3pRA3,1781452260.195000
622,R13,0000008300,RDD,s1__3pRA3,1781452260.205000
623,R13,0000008380,RDD,s1__3pRA3,1781452260.215000
624,R13,0000008400,RDD,s1__3pRA3,1781452260.225000
625,R13,0000008480,RDD,s1__3pRA3,1781452260.235000
626,R13,0000008580,RDD,s1__3pRA3,1781452260.245000
