Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
237,237,0,5047c00000008400,11,05,4,0000000d859cbd84,1,0
238,238,0,5043c00000008500,11,05,4,0000000d859cbd9a,1,0
239,239,0,5043c00000008600,11,05,4,0000000d859cbdb0,1,0
240,240,0,1803e00000008000,11,05,2,0000000d859cbe8d,1,0
241,241,0,180be00000008100,11,05,2,0000000d859cbf52,1,0
242,242,0,1813e00000008200,11,05,2,0000000d859cbf56,1,0
243,243,0,181be00000008300,11,05,2,0000000d859cbf5a,1,0
244,244,0,1823e00000008400,11,05,2,0000000d859cbf5e,1,0
245,245,0,182be00000008500,11,05,2,0000000d859cbf62,1,0
246,246,0,1833e00000008600,11,05,2,0000000d859cbf66,1,0
247,247,0,2800300000008100,01,07,0,0000000d859cc218,1,0
248,248,0,2800300000008200,01,07,0,0000000d859cc21a,1,0
249,249,0,2800300000008300,01,07,0,0000000d859cc21c,1,0
250,250,0,2840300000008400,01,07,0,0000000d859cc21e,1,0
251,251,0,2840300000008600,01,07,0,0000000d859cc220,1,0
252,252,0,2844300000008500,01,07,0,0000000d859cc222,1,0
253,253,0,5003c00000008100,11,05,4,0000000d859cc264,1,0
254,254,0,5003c00000008200,11,05,4,0000000d859cc27a,1,0
255,255,0,5003c00000008300,11,05,4,0000000d859cc290,1,0
256,256,0,5043c00000008400,11,05,4,0000000d859cc2a6,1,0
257,257,0,5043c00000008600,11,05,4,0000000d859cc2bc,1,0
258,258,0,5047c00000008500,11,05,4,0000000d859cc2d2,1,0
259,259,0,0003e00000008000,01,07,0,0000000d859cc327,1,0
260,260,0,180be00000008100,11,05,2,0000000d859cc482,1,0
261,261,0,1813e00000008200,11,05,2,0000000d859cc486,1,0
262,262,0,181be00000008300,11,05,2,0000000d859cc48a,1,0
263,263,0,1823e00000008400,11,05,2,0000000d859cc48e,1,0
264,264,0,182be00000008500,11,05,2,0000000d859cc492,1,0
265,265,0,1833e00000008600,11,05,2,0000000d859cc496,1,0
266,266,0,4803c00000008000,11,05,4,0000000d859cc590,1,0
267,267,0,3803e00000008000,01,07,0,0000000d859cc737,1,0
268,268,0,2800300000008100,01,07,0,0000000d859cc743,1,0
269,269,0,2800300000008200,01,07,0,0000000d859cc746,1,0
270,270,0,2800300000008300,01,07,0,0000000d859cc748,1,0
271,271,0,2844300000008400,01,07,0,0000000d859cc74a,1,0
272,272,0,2840300000008600,01,07,0,0000000d859cc74c,1,0
273,273,0,2844300000008500,01,07,0,0000000d859cc74e,1,0
274,274,0,5000000000008000,01,0b,3,0000000d859cc750,1,0
275,275,0,5003c00000008100,11,05,4,0000000d859cc79a,1,0
276,276,0,5003c00000008200,11,05,4,0000000d859cc7b0,1,0
277,277,0,5003c00000008300,11,05,4,0000000d859cc7c6,1,0
278,278,0,5047c00000008400,11,05,4,0000000d859cc7dc,1,0
279,279,0,5043c00000008600,11,05,4,0000000d859cc7f2,1,0
280,280,0,5047c00000008500,11,05,4,0000000d859cc808,1,0
281,281,0,1803e00000008000,11,05,2,0000000d859cc8e5,1,0
282,282,0,180be00000008100,11,05,2,0000000d859cc9a8,1,0
283,283,0,1813e00000008200,11,05,2,0000000d859cc9ac,1,0
