Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
416,416,0,5043c00000008580,11,04,4,0000000d859ca655,1,0
417,417,0,0007e00000008080,01,06,0,0000000d859ca6a2,1,0
418,418,0,180fe00000008180,11,04,2,0000000d859ca7f7,1,0
419,419,0,1817e00000008280,11,04,2,0000000d859ca7fb,1,0
420,420,0,181fe00000008380,11,04,2,0000000d859ca7ff,1,0
421,421,0,1827e00000008480,11,04,2,0000000d859ca803,1,0
422,422,0,182fe00000008580,11,04,2,0000000d859ca807,1,0
423,423,0,1837e00000008680,11,04,2,0000000d859ca80b,1,0
424,424,0,4807c00000008080,11,04,4,0000000d859ca90a,1,0
425,425,0,0007e00000000080,01,06,0,0000000d859ca974,1,0
426,426,0,4807c00000000080,11,04,4,0000000d859caa76,1,0
427,427,0,3803e00000008080,01,06,0,0000000d859cab93,1,0
428,428,0,2843f00000008680,01,06,0,0000000d859cab9f,1,0
429,429,0,2800300000008180,01,06,0,0000000d859caba1,1,0
430,430,0,2808300000008280,01,06,0,0000000d859caba3,1,0
431,431,0,2800300000008380,01,06,0,0000000d859caba5,1,0
432,432,0,2840300000008480,01,06,0,0000000d859caba7,1,0
433,433,0,2840300000008580,01,06,0,0000000d859caba9,1,0
434,434,0,5000000000008080,01,0a,3,0000000d859cabab,1,0
435,435,0,5043c00000008680,11,04,4,0000000d859cabf8,1,0
436,436,0,5003c00000008180,11,04,4,0000000d859cac0e,1,0
437,437,0,500bc00000008280,11,04,4,0000000d859cac24,1,0
438,438,0,5003c00000008380,11,04,4,0000000d859cac3a,1,0
439,439,0,5043c00000008480,11,04,4,0000000d859cac50,1,0
440,440,0,5043c00000008580,11,04,4,0000000d859cac66,1,0
441,441,0,1807e00000008080,11,04,2,0000000d859cad44,1,0
442,442,0,180fe00000008180,11,04,2,0000000d859cae0a,1,0
443,443,0,1817e00000008280,11,04,2,0000000d859cae0e,1,0
444,444,0,181fe00000008380,11,04,2,0000000d859cae12,1,0
445,445,0,1827e00000008480,11,04,2,0000000d859cae16,1,0
446,446,0,182fe00000008580,11,04,2,0000000d859cae1a,1,0
447,447,0,1837e00000008680,11,04,2,0000000d859cae1e,1,0
448,448,0,2004200000000080,01,0a,1,0000000d859cb032,1,0
449,449,0,2847f00000008680,01,06,0,0000000d859cb1a8,1,0
450,450,0,2800300000008180,01,06,0,0000000d859cb1aa,1,0
451,451,0,2808300000008280,01,06,0,0000000d859cb1ac,1,0
452,452,0,2800300000008380,01,06,0,0000000d859cb1ae,1,0
453,453,0,2844300000008480,01,06,0,0000000d859cb1b0,1,0
