Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_sys/traceOut_event_data[63:0],i_app/dcs_even/i_trace_sys/traceOut_event_size[4:0],i_app/dcs_even/i_trace_sys/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_sys/traceOut_src[2:0],i_app/dcs_even/i_trace_sys/traceOut_ts[63:0],i_app/dcs_even/i_trace_sys/dump_1,i_app/dcs_even/i_trace_sys/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
135,135,0,2844300000008480,01,06,0,000000344a1cd224,1,0
136,136,0,2840300000008580,01,06,0,000000344a1cd227,1,0
137,137,0,2843f00000008680,01,06,0,000000344a1cd22a,1,0
138,138,0,5000000000008080,01,0a,3,000000344a1cd255,1,0
139,139,0,5003c00000008180,11,04,4,000000344a1cd2d7,1,0
140,140,0,5007c00000008280,11,04,4,000000344a1cd2fa,1,0
141,141,0,5003c00000008380,11,04,4,000000344a1cd31e,1,0
142,142,0,0007e00000008180,11,04,2,000000344a1cd326,1,0
143,143,0,5047c00000008480,11,04,4,000000344a1cd341,1,0
144,144,0,0007e00000008280,11,04,2,000000344a1cd34c,1,0
145,145,0,5043c00000008580,11,04,4,000000344a1cd365,1,0
146,146,0,0007e00000008380,11,04,2,000000344a1cd370,1,0
147,147,0,5043c00000008680,11,04,4,000000344a1cd388,1,0
148,148,0,0007e00000008480,11,04,2,000000344a1cd392,1,0
149,149,0,0007e00000008580,11,04,2,000000344a1cd3b5,1,0
150,150,0,0007e00000008680,11,04,2,000000344a1cd3d9,1,0
151,151,0,5807e40000008080,01,08,5,000000344a1cd46e,1,0
152,152,0,1807e00000008080,11,04,2,000000344a1cd4bb,1,0
153,153,0,2804300000008180,01,06,0,000000344a1cd8a9,1,0
154,154,0,2800300000008280,01,06,0,000000344a1cd8ac,1,0
155,155,0,2800300000008380,01,06,0,000000344a1cd8af,1,0
156,156,0,2844300000008480,01,06,0,000000344a1cd8b2,1,0
157,157,0,2840300000008580,01,06,0,000000344a1cd8b5,1,0
158,158,0,2847f00000008680,01,06,0,000000344a1cd8b8,1,0
159,159,0,5007c00000008180,11,04,4,000000344a1cd968,1,0
160,160,0,5003c00000008280,11,04,4,000000344a1cd98b,1,0
161,161,0,5003c00000008380,11,04,4,000000344a1cd9ae,1,0
162,162,0,0007e00000008180,11,04,2,000000344a1cd9ba,1,0
163,163,0,5047c00000008480,11,04,4,000000344a1cd9d2,1,0
164,164,0,0007e00000008280,11,04,2,000000344a1cd9dc,1,0
165,165,0,5043c00000008580,11,04,4,000000344a1cd9f5,1,0
166,166,0,0007e00000008380,11,04,2,000000344a1cda00,1,0
167,167,0,5047c00000008680,11,04,4,000000344a1cda19,1,0
168,168,0,0007e00000008480,11,04,2,000000344a1cda22,1,0
169,169,0,0007e00000008580,11,04,2,000000344a1cda46,1,0
170,170,0,0007e00000008080,01,06,0,000000344a1cda69,1,0
171,171,0,0007e00000008680,11,04,2,000000344a1cda6b,1,0
172,172,0,4807c00000008080,11,04,4,000000344a1cdcb4,1,0
173,173,0,3807e00000008080,01,06,0,000000344a1cdf2a,1,0
174,174,0,2800300000008180,01,06,0,000000344a1cdf41,1,0
175,175,0,2804300000008280,01,06,0,000000344a1cdf44,1,0
176,176,0,2804300000008380,01,06,0,000000344a1cdf47,1,0
177,177,0,2840300000008480,01,06,0,000000344a1cdf4a,1,0
178,178,0,2840300000008580,01,06,0,000000344a1cdf4d,1,0
179,179,0,2843f00000008680,01,06,0,000000344a1cdf50,1,0
180,180,0,5004000000008080,01,0a,3,000000344a1cdf7b,1,0
181,181,0,5003c00000008180,11,04,4,000000344a1ce003,1,0
182,182,0,5007c00000008280,11,04,4,000000344a1ce027,1,0
183,183,0,5007c00000008380,11,04,4,000000344a1ce04a,1,0
184,184,0,0007e00000008180,11,04,2,000000344a1ce053,1,0
185,185,0,5043c00000008480,11,04,4,000000344a1ce06e,1,0
186,186,0,0007e00000008280,11,04,2,000000344a1ce078,1,0
187,187,0,5043c00000008580,11,04,4,000000344a1ce091,1,0
188,188,0,0007e00000008380,11,04,2,000000344a1ce099,1,0
189,189,0,5043c00000008680,11,04,4,000000344a1ce0b5,1,0
