Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
301,301,0,5003c00000008300,11,05,4,000000207380a23c,1,0
302,302,0,5047c00000008400,11,05,4,000000207380a252,1,0
303,303,0,0007e00000008100,11,05,2,000000207380a261,1,0
304,304,0,5043c00000008500,11,05,4,000000207380a268,1,0
305,305,0,0007e00000008200,11,05,2,000000207380a277,1,0
306,306,0,5047c00000008600,11,05,4,000000207380a27e,1,0
307,307,0,0007e00000008300,11,05,2,000000207380a28f,1,0
308,308,0,0007e00000008400,11,05,2,000000207380a2a4,1,0
309,309,0,0007e00000008500,11,05,2,000000207380a2bb,1,0
310,310,0,0007e00000008600,11,05,2,000000207380a2cf,1,0
311,311,0,0003e00000008000,01,07,0,000000207380a2da,1,0
312,312,0,4803c00000008000,11,05,4,000000207380a42c,1,0
313,313,0,3807e00000008000,01,07,0,000000207380a5fc,1,0
314,314,0,2800300000008100,01,07,0,000000207380a60b,1,0
315,315,0,2800300000008200,01,07,0,000000207380a60d,1,0
316,316,0,2800300000008300,01,07,0,000000207380a60f,1,0
317,317,0,2840300000008400,01,07,0,000000207380a611,1,0
318,318,0,2840300000008500,01,07,0,000000207380a613,1,0
319,319,0,2840300000008600,01,07,0,000000207380a615,1,0
320,320,0,5004000000008000,01,0b,3,000000207380a615,1,0
321,321,0,5003c00000008100,11,05,4,000000207380a657,1,0
322,322,0,5003c00000008200,11,05,4,000000207380a66d,1,0
323,323,0,5003c00000008300,11,05,4,000000207380a683,1,0
324,324,0,5043c00000008400,11,05,4,000000207380a699,1,0
325,325,0,0007e00000008100,11,05,2,000000207380a6a9,1,0
326,326,0,5043c00000008500,11,05,4,000000207380a6af,1,0
327,327,0,0007e00000008200,11,05,2,000000207380a6c0,1,0
328,328,0,5043c00000008600,11,05,4,000000207380a6c5,1,0
329,329,0,0007e00000008300,11,05,2,000000207380a6d6,1,0
330,330,0,0007e00000008400,11,05,2,000000207380a6ea,1,0
331,331,0,0007e00000008500,11,05,2,000000207380a701,1,0
332,332,0,0007e00000008600,11,05,2,000000207380a717,1,0
333,333,0,5803e40000008000,01,09,5,000000207380a769,1,0
334,334,0,1803e00000008000,11,05,2,000000207380a7b7,1,0
335,335,0,2804300000008100,01,07,0,000000207380aa25,1,0
336,336,0,2800300000008200,01,07,0,000000207380aa27,1,0
337,337,0,2800300000008300,01,07,0,000000207380aa29,1,0
338,338,0,2840300000008400,01,07,0,000000207380aa2b,1,0
339,339,0,2840300000008500,01,07,0,000000207380aa2d,1,0
340,340,0,2844300000008600,01,07,0,000000207380aa2f,1,0
341,341,0,5007c00000008100,11,05,4,000000207380aa71,1,0
342,342,0,5003c00000008200,11,05,4,000000207380aa87,1,0
343,343,0,5003c00000008300,11,05,4,000000207380aa9d,1,0
344,344,0,5043c00000008400,11,05,4,000000207380aab3,1,0
345,345,0,0007e00000008100,11,05,2,000000207380aac3,1,0
346,346,0,5043c00000008500,11,05,4,000000207380aac9,1,0
347,347,0,0007e00000008200,11,05,2,000000207380aada,1,0
348,348,0,5047c00000008600,11,05,4,000000207380aadf,1,0
349,349,0,0007e00000008300,11,05,2,000000207380aaee,1,0
350,350,0,0007e00000008400,11,05,2,000000207380ab05,1,0
351,351,0,0007e00000008500,11,05,2,000000207380ab1b,1,0
352,352,0,0007e00000008600,11,05,2,000000207380ab31,1,0
353,353,0,0007e00000008000,01,07,0,000000207380ab3a,1,0
354,354,0,4807c00000008000,11,05,4,000000207380ac8b,1,0
355,355,0,3803e00000008000,01,07,0,000000207380ae2b,1,0
356,356,0,2804300000008100,01,07,0,000000207380ae38,1,0
357,357,0,2800300000008200,01,07,0,000000207380ae3a,1,0
358,358,0,2800300000008300,01,07,0,000000207380ae3c,1,0
359,359,0,2840300000008400,01,07,0,000000207380ae3e,1,0
360,360,0,2840300000008500,01,07,0,000000207380ae40,1,0
361,361,0,2840300000008600,01,07,0,000000207380ae42,1,0
362,362,0,5000000000008000,01,0b,3,000000207380ae44,1,0
363,363,0,5007c00000008100,11,05,4,000000207380ae84,1,0
364,364,0,5003c00000008200,11,05,4,000000207380ae9a,1,0
365,365,0,5003c00000008300,11,05,4,000000207380aeb0,1,0
